airportID,IATA,origin,HH_ISO,region
1538,BLQ,LIPE,ITA,Europe
1539,TSF,LIPH,ITA,Europe
1550,VRN,LIPX,ITA,Europe
1551,VCE,LIPZ,ITA,Europe
1553,CIA,LIRA,ITA,Europe
1555,FCO,LIRF,ITA,Europe
1562,PSA,LIRP,ITA,Europe
1563,FLR,LIRQ,ITA,Europe
1569,LJU,LJLJ,SVN,Europe
1587,PRG,LKPR,CZE,Europe
1606,MLA,LMML,MLT,Europe
1609,GRZ,LOWG,AUT,Europe
1610,INN,LOWI,AUT,Europe
1612,SZG,LOWS,AUT,Europe
1613,VIE,LOWW,AUT,Europe
1617,SMA,LPAZ,PRT,Europe
1626,FAO,LPFR,PRT,Europe
4091,FNC,LPMA,PRT,Europe
1633,PDL,LPPD,PRT,Europe
1636,OPO,LPPR,PRT,Europe
1638,LIS,LPPT,PRT,Europe
1657,OTP,LROP,ROU,Europe
1665,GVA,LSGG,CHE,Europe
1678,ZRH,LSZH,CHE,Europe
1738,GIB,LXGB,GIB,Europe
1739,BEG,LYBE,SRB,Europe
1745,BTS,LZIB,SVK,Europe
2934,VVO,UHWW,RUS,Europe
2937,IKT,UIII,RUS,Europe
2939,KBP,UKBB,UKR,Europe
2948,LED,ULLI,RUS,Europe
2949,MMK,ULMM,RUS,Europe
2954,MSQ,UMMS,BLR,Europe
2957,KEJ,UNEE,RUS,Europe
4297,TOF,UNTT,RUS,Europe
6119,NOZ,UNWW,RUS,Europe
4353,AAQ,URKA,RUS,Europe
2973,PEE,USPP,RUS,Europe
2975,SVX,USSS,RUS,Europe
4029,DME,UUDD,RUS,Europe
2985,SVO,UUEE,RUS,Europe
2988,VKO,UUWW,RUS,Europe
2990,KZN,UWKD,RUS,Europe
2993,KUF,UWWW,RUS,Europe
