Age,M,F
0-4,242523,231189
5-9,302160,288778
10-14,279689,268655
15-19,241653,232797
20-24,232545,224931
25-29,264299,269228
30-34,364591,375894
35-39,388806,409207
40-44,345803,368726
45-49,309667,341523
50-54,291325,333810
55-59,299836,355654
60-64,307797,395150
65-69,234472,345778
70-74,155464,278404
75-79,67733,146175
80-84,54079,160465
85-89,23064,88751
90-94,8006,38526
95-99,1380,8722
100+,107,796
