Age,M,F
0-4,1110310,1050608
5-9,1298439,1227049
10-14,1445890,1362695
15-19,1468556,1378436
20-24,1546478,1406260
25-29,1577651,1479953
30-34,1651030,1602006
35-39,1740874,1724825
40-44,1972641,1974058
45-49,2313638,2342833
50-54,2379297,2444921
55-59,2296648,2398060
60-64,1936290,2082545
65-69,1669611,1841751
70-74,1588498,1812174
75-79,1162138,1430540
80-84,955112,1324966
85-89,521402,884771
90-94,198009,455578
95-99,37867,128009
100+,2873,15029
