Age,M,F
0-4,71850,68038
5-9,75039,71092
10-14,70247,66820
15-19,64988,61666
20-24,75370,69583
25-29,91061,81675
30-34,100745,88140
35-39,93400,83699
40-44,87716,83129
45-49,93367,95370
50-54,97368,105207
55-59,97526,111396
60-64,91949,116433
65-69,65102,94623
70-74,49046,83648
75-79,36086,72827
80-84,26541,64152
85-89,13851,39586
90-94,5275,17356
95-99,1064,4050
100+,141,418
