Age,M,F
0-4,178300,166898
5-9,183544,171874
10-14,175842,164686
15-19,192702,181137
20-24,191413,180971
25-29,223403,215211
30-34,243708,237250
35-39,264823,254951
40-44,276540,269325
45-49,271250,271772
50-54,247786,255628
55-59,237560,254737
60-64,217164,256386
65-69,198851,278869
70-74,173292,239995
75-79,108935,166630
80-84,71039,129237
85-89,31870,72684
90-94,8031,25730
95-99,1000,5277
100+,51,405
