Age,M,F
0-4,78879,75039
5-9,83738,79951
10-14,86895,83498
15-19,85180,82476
20-24,99473,93495
25-29,102795,96043
30-34,114059,109037
35-39,119466,115118
40-44,116618,113781
45-49,115373,113493
50-54,114657,113525
55-59,121728,124431
60-64,114605,124129
65-69,100673,116998
70-74,67138,86991
75-79,35761,51899
80-84,31364,46299
85-89,16114,25014
90-94,4717,7609
95-99,833,1720
100+,97,224
