Age,M,F
0-4,51988,48807
5-9,56067,53098
10-14,57337,54606
15-19,49214,46745
20-24,55981,49392
25-29,62329,53373
30-34,72139,62952
35-39,79364,69958
40-44,86293,76051
45-49,81088,73509
50-54,76599,72009
55-59,77444,75431
60-64,71351,71779
65-69,67263,70509
70-74,50470,58092
75-79,31840,42901
80-84,22833,36340
85-89,11193,24425
90-94,3678,11281
95-99,639,2733
100+,57,240
