Age,M,F
0-4,974959,922012
5-9,1169880,1100731
10-14,1306773,1224584
15-19,1273260,1193757
20-24,1243414,1175891
25-29,1285156,1249230
30-34,1373937,1367016
35-39,1562463,1581882
40-44,1922246,1911594
45-49,1995649,1962769
50-54,1859522,1861304
55-59,1706199,1756357
60-64,1483624,1571451
65-69,1202099,1320072
70-74,1030683,1195679
75-79,806572,1010809
80-84,528742,761201
85-89,368630,635488
90-94,145681,313706
95-99,29653,88312
100+,2574,11363
