Age,M,F
0-4,74207,71023
5-9,76702,73997
10-14,65415,62560
15-19,36292,40990
20-24,102780,27566
25-29,272374,65930
30-34,362306,103284
35-39,337111,95163
40-44,244708,72034
45-49,161714,46980
50-54,104654,29928
55-59,59241,19078
60-64,32616,12055
65-69,13876,6649
70-74,5256,3415
75-79,2245,1955
80-84,1333,1180
85-89,672,583
90-94,149,164
95-99,15,19
100+,1,1
