Age,M,F
0-4,847884,803445
5-9,1139441,1083572
10-14,1179350,1110130
15-19,1228911,1139521
20-24,1694644,1550713
25-29,1948385,1699575
30-34,1760588,1568332
35-39,1915587,1774644
40-44,2029781,1930972
45-49,2137184,2066699
50-54,2224020,2207210
55-59,2081922,2061596
60-64,1976401,2039512
65-69,1391303,1498836
70-74,966859,1104248
75-79,684250,904143
80-84,437198,721182
85-89,184092,436210
90-94,49065,191027
95-99,7423,45802
100+,664,7808
