Age,M,F
0-4,159449,150845
5-9,154277,146520
10-14,172053,163202
15-19,175639,167642
20-24,191035,183122
25-29,206334,198331
30-34,190661,182728
35-39,167722,163221
40-44,175422,174422
45-49,195611,196010
50-54,199699,197885
55-59,204320,202984
60-64,172822,175699
65-69,156865,164417
70-74,149990,162505
75-79,124502,141434
80-84,69385,88175
85-89,32985,50653
90-94,11121,23806
95-99,2083,7395
100+,178,1083
