Country,Alpha-2,Alpha-3,Continent,F_AGEHOH1_T1,F_AGEHOH2_T1,F_AGEHOH3_T1,F_AGEHOH4_T1,F_AGEHOH5_T1,F_AGEHOH1_T2,F_AGEHOH2_T2,F_AGEHOH3_T2,F_AGEHOH4_T2,F_AGEHOH5_T2,F_AGEHOH1_T3,F_AGEHOH2_T3,F_AGEHOH3_T3,F_AGEHOH4_T3,F_AGEHOH5_T3,F_AGEHOH1_T4,F_AGEHOH2_T4,F_AGEHOH3_T4,F_AGEHOH4_T4,F_AGEHOH5_T4,M_AGEHOH1_T1,M_AGEHOH2_T1,M_AGEHOH3_T1,M_AGEHOH4_T1,M_AGEHOH5_T1,M_AGEHOH1_T2,M_AGEHOH2_T2,M_AGEHOH3_T2,M_AGEHOH4_T2,M_AGEHOH5_T2,M_AGEHOH1_T3,M_AGEHOH2_T3,M_AGEHOH3_T3,M_AGEHOH4_T3,M_AGEHOH5_T3,M_AGEHOH1_T4,M_AGEHOH2_T4,M_AGEHOH3_T4,M_AGEHOH4_T4,M_AGEHOH5_T4,F_AGEHOH1_T1_PERC,F_AGEHOH2_T1_PERC,F_AGEHOH3_T1_PERC,F_AGEHOH4_T1_PERC,F_AGEHOH5_T1_PERC,F_AGEHOH1_T2_PERC,F_AGEHOH2_T2_PERC,F_AGEHOH3_T2_PERC,F_AGEHOH4_T2_PERC,F_AGEHOH5_T2_PERC,F_AGEHOH1_T3_PERC,F_AGEHOH2_T3_PERC,F_AGEHOH3_T3_PERC,F_AGEHOH4_T3_PERC,F_AGEHOH5_T3_PERC,F_AGEHOH1_T4_PERC,F_AGEHOH2_T4_PERC,F_AGEHOH3_T4_PERC,F_AGEHOH4_T4_PERC,F_AGEHOH5_T4_PERC,M_AGEHOH1_T1_PERC,M_AGEHOH2_T1_PERC,M_AGEHOH3_T1_PERC,M_AGEHOH4_T1_PERC,M_AGEHOH5_T1_PERC,M_AGEHOH1_T2_PERC,M_AGEHOH2_T2_PERC,M_AGEHOH3_T2_PERC,M_AGEHOH4_T2_PERC,M_AGEHOH5_T2_PERC,M_AGEHOH1_T3_PERC,M_AGEHOH2_T3_PERC,M_AGEHOH3_T3_PERC,M_AGEHOH4_T3_PERC,M_AGEHOH5_T3_PERC,M_AGEHOH1_T4_PERC,M_AGEHOH2_T4_PERC,M_AGEHOH3_T4_PERC,M_AGEHOH4_T4_PERC,M_AGEHOH5_T4_PERC,TOTAL_HH_ALL,HH_PERC,AGE1_PERC,AGE2_PERC,AGE3_PERC,TOTAL_POP_ALL,POP_PERC,HH_PERC2,HH_PERC3
Georgia,GE,GEO,Europe,1682,7551,20988,26772,65335,1454,16504,51199,34379,56052,240,7799,23938,19485,36360,42,1227,5798,7694,15832,1699,11215,22247,15188,21162,1501,29389,87865,73733,83501,296,32767,134104,47298,37077,47,4744,34356,35873,34567,0.0015,0.0068,0.0189,0.0241,0.0589,0.0013,0.0149,0.0462,0.031,0.0505,0.0002,0.007,0.0216,0.0176,0.0328,0,0.0011,0.0052,0.0069,0.0143,0.0015,0.0101,0.0201,0.0137,0.0191,0.0014,0.0265,0.0792,0.0665,0.0753,0.0003,0.0295,0.1209,0.0427,0.0334,0,0.0043,0.031,0.0323,0.0312,1108960,0.0022605,0.1842,0.6473,0.1685,3716858,0.00114,0.00500,0.004999457
Germany,DE,DEU,DEU,86857,1409656,1455769,979686,3559136,15492,504872,1243884,280258,411552,404,43275,150556,15153,11879,30,3507,11850,1665,1779,79573,1805648,2391165,776249,1115192,19102,1867204,4833740,3397754,5111627,1931,510528,3480518,497955,146875,385,45233,352687,69978,35790,0.0024,0.0384,0.0396,0.0267,0.0969,0.0004,0.0137,0.0339,0.0076,0.0112,0,0.0012,0.0041,0.0004,0.0003,0,0.0001,0.0003,0,0,0.0022,0.0492,0.0651,0.0211,0.0304,0.0005,0.0508,0.1316,0.0925,0.1392,0.0001,0.0139,0.0948,0.0136,0.004,0,0.0012,0.0096,0.0019,0.001,36726394,0.0748621,0.1289,0.6412,0.2299,83122889,0.02555,0.16557,0.165571367
Greece,GR,GRC,GRC,10620,61690,68815,72929,244721,4779,73572,155059,74673,100124,409,23522,77948,14080,11270,49,1864,7163,2184,2987,8751,74944,75064,32661,73213,4082,205762,365636,296533,520308,694,95315,569303,138054,69597,130,11968,71967,20276,21200,0.0029,0.0168,0.0188,0.0199,0.0668,0.0013,0.0201,0.0423,0.0204,0.0273,0.0001,0.0064,0.0213,0.0038,0.0031,0,0.0005,0.002,0.0006,0.0008,0.0024,0.0205,0.0205,0.0089,0.02,0.0011,0.0562,0.0998,0.0809,0.142,0.0002,0.026,0.1554,0.0377,0.019,0,0.0033,0.0196,0.0055,0.0058,3663916,0.0074684,0.1453,0.6304,0.2243,10724599,0.0033,0.01652,0.016517809
Hungary,HU,HUN,HUN,3785,84899,113120,160952,446276,978,56942,218100,91917,99646,70,8612,38051,6563,3284,25,1125,4220,869,452,3343,104801,184110,103688,111881,1757,208839,479373,405811,429226,382,94960,448482,85049,22737,179,15313,53315,9454,2490,0.0009,0.0207,0.0276,0.0392,0.1087,0.0002,0.0139,0.0531,0.0224,0.0243,0,0.0021,0.0093,0.0016,0.0008,0,0.0003,0.001,0.0002,0.0001,0.0008,0.0255,0.0448,0.0253,0.0273,0.0004,0.0509,0.1168,0.0989,0.1046,0.0001,0.0231,0.1093,0.0207,0.0055,0,0.0037,0.013,0.0023,0.0006,4105076,0.0083677,0.1454,0.6477,0.2069,9769526,0.003,0.01851,0.018506664
Iceland,IS,ISL,ISL,5500,95587,76976,64100,192294,696,55673,129338,57066,65375,3,14682,79523,6930,3909,0,606,6103,840,1192,5317,146481,154481,60196,79078,501,87768,153518,151150,204672,8,32175,225982,33089,6964,1,1049,19781,3318,1841,0.0025,0.043,0.0346,0.0288,0.0865,0.0003,0.025,0.0582,0.0257,0.0294,0,0.0066,0.0358,0.0031,0.0018,0,0.0003,0.0027,0.0004,0.0005,0.0024,0.0659,0.0695,0.0271,0.0356,0.0002,0.0395,0.069,0.068,0.092,0,0.0145,0.1016,0.0149,0.0031,0,0.0005,0.0089,0.0015,0.0008,2223763,0.0045329,0.2031,0.6422,0.1547,372520,0.00011,0.01003,0.010025255
Ireland,IE,IRL,IRL,967,28398,49568,32006,87398,2106,121426,106830,40350,48067,437,36763,81551,8682,3116,43,4447,15045,1238,415,1115,37790,70733,35128,48827,1171,94889,123519,102426,134448,333,34518,193889,40707,13240,52,3964,40299,6429,1755,0.0006,0.0172,0.03,0.0193,0.0528,0.0013,0.0734,0.0646,0.0244,0.0291,0.0003,0.0222,0.0493,0.0052,0.0019,0,0.0027,0.0091,0.0007,0.0003,0.0007,0.0228,0.0428,0.0212,0.0295,0.0007,0.0574,0.0747,0.0619,0.0813,0.0002,0.0209,0.1172,0.0246,0.008,0,0.0024,0.0244,0.0039,0.0011,1654085,0.0033716,0.2115,0.6503,0.1382,4977400,0.00153,0.00746,0.007457011
Italy,IT,ITA,ITA,4615,394898,895749,543347,2645960,1691,352239,1247128,450531,902784,168,75084,383390,58211,115600,22,5113,23169,7078,16984,6052,577404,1286175,454660,851465,1530,667234,2392125,1894058,3646411,168,225580,2938866,866602,373892,19,15388,164730,59870,56192,0.0002,0.0161,0.0364,0.0221,0.1075,0.0001,0.0143,0.0507,0.0183,0.0367,0,0.0031,0.0156,0.0024,0.0047,0,0.0002,0.0009,0.0003,0.0007,0.0002,0.0235,0.0523,0.0185,0.0346,0.0001,0.0271,0.0972,0.077,0.1482,0,0.0092,0.1195,0.0352,0.0152,0,0.0006,0.0067,0.0024,0.0023,24602182,0.0501484,0.1345,0.6447,0.2208,60026546,0.01845,0.11091,0.11091252
Latvia,LV,LVA,LVA,2785,20760,32162,32382,92345,2148,46787,98637,49411,61899,786,24475,56026,9552,7075,134,4064,9976,2197,1727,2608,27128,43362,19280,23097,1639,25233,44100,25586,35061,582,10365,28894,5485,3264,90,1680,4910,1178,953,0.0032,0.0241,0.0374,0.0377,0.1074,0.0025,0.0544,0.1147,0.0575,0.072,0.0009,0.0285,0.0652,0.0111,0.0082,0.0002,0.0047,0.0116,0.0026,0.002,0.003,0.0316,0.0504,0.0224,0.0269,0.0019,0.0293,0.0513,0.0298,0.0408,0.0007,0.0121,0.0336,0.0064,0.0038,0.0001,0.002,0.0057,0.0014,0.0011,859823,0.0017526,0.1532,0.6418,0.205,1898400,0.00058,0.00388,0.003876288
Lithuania,LT,LTU,LTU,357,19361,34307,58561,161362,209,27285,92032,64192,76932,0,8742,46919,7146,3277,0,609,4597,1931,1799,477,32358,53654,32941,33806,64,37143,75831,80677,102347,7,17658,101495,15803,6068,0,807,7993,3462,2964,0.0003,0.0159,0.0282,0.0482,0.1328,0.0002,0.0225,0.0757,0.0528,0.0633,0,0.0072,0.0386,0.0059,0.0027,0,0.0005,0.0038,0.0016,0.0015,0.0004,0.0266,0.0442,0.0271,0.0278,0.0001,0.0306,0.0624,0.0664,0.0842,0,0.0145,0.0835,0.013,0.005,0,0.0007,0.0066,0.0028,0.0024,1215173,0.002477,0.1526,0.6429,0.2045,2794870,0.00086,0.00548,0.00547829
Luxembourg,LU,LUX,LUX,98,7384,8443,4717,14062,60,5370,11075,2984,3051,12,944,3770,452,300,1,92,402,57,70,92,9879,15237,4528,5077,40,10280,21840,15401,20146,13,3920,28164,4817,1165,2,319,3436,609,237,0.0005,0.0354,0.0405,0.0226,0.0674,0.0003,0.0257,0.0531,0.0143,0.0146,0.0001,0.0045,0.0181,0.0022,0.0014,0,0.0004,0.0019,0.0003,0.0003,0.0004,0.0474,0.0731,0.0217,0.0243,0.0002,0.0493,0.1047,0.0738,0.0966,0.0001,0.0188,0.135,0.0231,0.0056,0,0.0015,0.0165,0.0029,0.0011,208546,0.0004251,0.1673,0.679,0.1537,626108,0.00019,0.00094,0.000940175
