Age,M,F
0-4,1707932,1624809
5-9,1890458,1788190
10-14,1832778,1731010
15-19,1783109,1695606
20-24,1782748,1704097
25-29,1798686,1727462
30-34,1706776,1646299
35-39,1622873,1579276
40-44,1582493,1544581
45-49,1385360,1383976
50-54,1160330,1184879
55-59,1044957,1088173
60-64,924029,1003308
65-69,779009,904722
70-74,602870,768701
75-79,408488,597669
80-84,233437,417647
85-89,114021,267821
90-94,42145,144442
95-99,10583,50078
100+,1757,9185
