Age,M,F
0-4,221238,209610
5-9,222077,208618
10-14,216721,205219
15-19,222664,211066
20-24,253881,239115
25-29,300995,286619
30-34,313199,301680
35-39,308792,303082
40-44,289722,285847
45-49,296486,301443
50-54,345807,346056
55-59,350193,350753
60-64,292725,303911
65-69,223375,247463
70-74,190662,223920
75-79,147403,188345
80-84,120248,168565
85-89,50795,89237
90-94,20359,45831
95-99,3521,13323
100+,243,1262
