Age,M,F
0-4,980830,927580
5-9,978780,925619
10-14,1064390,1010427
15-19,927210,880375
20-24,995361,950388
25-29,1196327,1153938
30-34,1411119,1368207
35-39,1621643,1585377
40-44,1561454,1533353
45-49,1385104,1375609
50-54,1146584,1162673
55-59,1125295,1181726
60-64,1245223,1397384
65-69,1134685,1395876
70-74,828949,1138529
75-79,405266,645514
80-84,290573,565913
85-89,156240,372877
90-94,58770,169455
95-99,9798,39136
100+,739,3420
