Age,M,F
0-4,223985,212509
5-9,227226,214300
10-14,221517,209884
15-19,216231,204080
20-24,244226,228306
25-29,281380,271295
30-34,313662,306301
35-39,315050,308817
40-44,304148,299546
45-49,300487,297500
50-54,326323,323598
55-59,328680,322230
60-64,270449,271318
65-69,214094,227503
70-74,189890,211360
75-79,156592,183508
80-84,98340,132953
85-89,56439,92280
90-94,20814,46205
95-99,4106,12472
100+,345,1447
