Age,M,F
0-4,443455,422237
5-9,459307,436525
10-14,487575,464129
15-19,522928,499182
20-24,567803,550812
25-29,576243,557963
30-34,573566,558825
35-39,531677,525589
40-44,516049,518325
45-49,548961,556041
50-54,641910,639998
55-59,633796,629665
60-64,571443,575847
65-69,500123,512044
70-74,466895,489622
75-79,320960,358817
80-84,198565,255065
85-89,97129,160189
90-94,32145,73386
95-99,5547,18887
100+,415,2043
