Age,M,F
0-4,1679097,1606203
5-9,1754965,1665349
10-14,1663500,1586885
15-19,1525815,1478839
20-24,1468750,1427367
25-29,1453398,1418221
30-34,1447961,1407765
35-39,1383730,1369908
40-44,1256162,1249188
45-49,1118930,1119889
50-54,984967,982018
55-59,869840,889578
60-64,758790,756556
65-69,594976,588139
70-74,366942,396052
75-79,196683,255820
80-84,95243,138226
85-89,36366,56746
90-94,8619,15910
95-99,886,2135
100+,38,124
