Age,M,F
0-4,19092,17712
5-9,19812,18242
10-14,20358,18936
15-19,19670,18581
20-24,20437,19585
25-29,21371,20455
30-34,21235,20400
35-39,22956,22463
40-44,21715,22303
45-49,19790,21264
50-54,19073,20132
55-59,19537,20971
60-64,18963,20714
65-69,16728,19135
70-74,11566,15466
75-79,6088,9639
80-84,4857,8871
85-89,2019,4778
90-94,548,1920
95-99,61,336
100+,4,63
