Age,M,F
0-4,4053692,3836610
5-9,4896880,4635742
10-14,4247344,4041369
15-19,3751083,3591364
20-24,3538361,3401106
25-29,4290942,4145187
30-34,6175348,6068609
35-39,6111248,6198023
40-44,5318361,5610822
45-49,4778908,5257967
50-54,4155225,4686764
55-59,4273108,5247889
60-64,4298075,5866238
65-69,3186548,5099955
70-74,2151705,3963418
75-79,804387,1799526
80-84,889007,2555100
85-89,320189,1065361
90-94,130677,522047
95-99,19652,108309
100+,1913,8683
