Age,M,F
0-4,926814,870989
5-9,1230289,1156491
10-14,1257531,1184840
15-19,1049984,992928
20-24,1052226,994961
25-29,1359497,1289977
30-34,1757454,1696004
35-39,1880934,1856236
40-44,1625118,1674598
45-49,1507381,1633960
50-54,1348180,1534246
55-59,1334712,1661837
60-64,1297350,1783038
65-69,975898,1543379
70-74,706070,1283276
75-79,330756,762718
80-84,334970,920133
85-89,113782,343417
90-94,46573,164187
95-99,9916,32994
100+,1892,3874
