Age,M,F
0-4,34339,32275
5-9,34951,32880
10-14,32955,31442
15-19,32195,30831
20-24,36113,34870
25-29,47311,43312
30-34,62400,52773
35-39,60149,54575
40-44,50218,50170
45-49,41188,44883
50-54,39062,42383
55-59,35771,38471
60-64,33832,34669
65-69,27356,28708
70-74,22243,24777
75-79,15963,19203
80-84,10162,13254
85-89,4862,7560
90-94,1684,3122
95-99,364,788
100+,32,83
