Age,M,F
0-4,127336,118667
5-9,116651,109524
10-14,123213,117126
15-19,132261,125806
20-24,210475,172782
25-29,245666,200403
30-34,237346,206127
35-39,240394,224139
40-44,245301,229584
45-49,260279,234160
50-54,253409,224822
55-59,261310,224455
60-64,247155,213428
65-69,202876,177530
70-74,104293,109923
75-79,47738,60629
80-84,29623,41570
85-89,15413,26757
90-94,5356,12062
95-99,1270,3528
100+,124,538
