Age,M,F
0-4,221104,211502
5-9,225542,215223
10-14,254565,245102
15-19,272935,261817
20-24,286858,279318
25-29,274442,273694
30-34,279880,286734
35-39,309186,330768
40-44,358098,393323
45-49,381677,424854
50-54,352906,395092
55-59,346151,396407
60-64,320746,370655
65-69,286000,341967
70-74,250607,311254
75-79,188315,260323
80-84,135300,209763
85-89,80342,149635
90-94,24763,59497
95-99,4907,16502
100+,404,1934
