Age,M,F
0-4,306345,293137
5-9,335063,319795
10-14,349803,333582
15-19,332296,315251
20-24,344442,330079
25-29,372166,363431
30-34,387102,383016
35-39,377151,374510
40-44,381554,375912
45-49,379341,370587
50-54,397536,387689
55-59,404650,400400
60-64,366907,375070
65-69,310322,330001
70-74,264997,296145
75-79,182557,222398
80-84,129136,182116
85-89,78446,135580
90-94,29167,67861
95-99,5462,18123
100+,395,1889
