Age,M,F
0-4,456482,433385
5-9,439176,416320
10-14,389761,372006
15-19,355455,340295
20-24,329800,316763
25-29,302982,292343
30-34,298216,289152
35-39,291784,285500
40-44,274870,273961
45-49,256323,259159
50-54,211674,216155
55-59,183922,192819
60-64,172233,187727
65-69,156303,176387
70-74,133305,156116
75-79,77766,94762
80-84,54651,75919
85-89,32287,49070
90-94,14670,25245
95-99,4644,8630
100+,844,1188
