Age,M,F
0-4,2037599,1933712
5-9,1982542,1877199
10-14,1924679,1815773
15-19,2003891,1857610
20-24,2408417,2172142
25-29,2547416,2337659
30-34,2865760,2688646
35-39,2706978,2613422
40-44,2563441,2532007
45-49,2473669,2458121
50-54,3191489,3157021
55-59,3430757,3419451
60-64,2914250,3002998
65-69,2353056,2584524
70-74,1894188,2172418
75-79,1495293,1848370
80-84,1442280,2012796
85-89,647493,1093531
90-94,227667,513883
95-99,39919,146623
100+,3203,16651
