Age,M,F
0-4,36409,34271
5-9,36560,34715
10-14,39412,37460
15-19,33751,32131
20-24,32118,30377
25-29,38617,35853
30-34,52889,47380
35-39,50457,46546
40-44,47218,44200
45-49,46359,44747
50-54,42761,43748
55-59,40304,44022
60-64,38684,47029
65-69,32956,45596
70-74,25466,41369
75-79,15455,29883
80-84,12451,30771
85-89,5748,17891
90-94,2189,8448
95-99,344,1929
100+,18,158
