Age,M,F
0-4,12205,11337
5-9,12305,11311
10-14,11372,10654
15-19,11227,10453
20-24,16711,14209
25-29,25559,20811
30-34,27638,22867
35-39,24625,19983
40-44,21396,17887
45-49,18400,15832
50-54,15487,13819
55-59,15407,14530
60-64,15787,15550
65-69,14000,14077
70-74,13419,14367
75-79,9510,10652
80-84,5094,6923
85-89,2757,4681
90-94,869,2036
95-99,184,648
100+,20,138
