Age,M,F
0-4,2485851,2384991
5-9,2408266,2309315
10-14,2035700,1943848
15-19,1600268,1527610
20-24,1472954,1406780
25-29,1722842,1626409
30-34,1850273,1759292
35-39,1852068,1762546
40-44,1625033,1543325
45-49,1351929,1292537
50-54,1143798,1101584
55-59,925024,896309
60-64,713622,704707
65-69,551550,557323
70-74,356670,376831
75-79,201878,237124
80-84,127299,154321
85-89,55065,72588
90-94,15068,20211
95-99,1939,2843
100+,141,226
