Age,M,F
0-4,16982,16399
5-9,17641,16728
10-14,17384,16604
15-19,17323,16016
20-24,19786,18690
25-29,24380,23226
30-34,26126,25171
35-39,25026,24827
40-44,24624,24092
45-49,23710,22581
50-54,24369,22738
55-59,23130,21255
60-64,18422,17816
65-69,14182,14619
70-74,11290,11952
75-79,7831,8963
80-84,5312,7501
85-89,2907,5024
90-94,1147,2634
95-99,172,635
100+,17,78
