Age,M,F
0-4,92631,87858
5-9,98265,92171
10-14,104196,98880
15-19,100858,94954
20-24,119438,110071
25-29,124416,113792
30-34,129539,120412
35-39,142239,134097
40-44,144368,136694
45-49,137195,132366
50-54,135207,135678
55-59,140576,147441
60-64,140729,154008
65-69,130208,147394
70-74,97633,126893
75-79,61355,93644
80-84,46621,83454
85-89,23124,51270
90-94,6985,18262
95-99,1149,3630
100+,111,313
