Age,M,F
0-4,3388639,3221158
5-9,3508767,3331187
10-14,3311436,3144512
15-19,3238998,3071659
20-24,3473779,3298459
25-29,3466921,3332222
30-34,3437282,3312069
35-39,3335357,3225875
40-44,3135990,3058939
45-49,2815523,2760290
50-54,2576198,2527888
55-59,2214041,2149425
60-64,1634418,1701251
65-69,1195304,1489043
70-74,839640,1097358
75-79,523782,748852
80-84,281157,477936
85-89,92466,235585
90-94,18356,82424
95-99,1719,17340
100+,53,2097
