Age,M,F
0-4,527689,501493
5-9,520076,493090
10-14,538545,516851
15-19,525262,502811
20-24,524521,501431
25-29,526828,504055
30-34,687543,652953
35-39,660740,632444
40-44,764252,742577
45-49,754165,737091
50-54,811815,813066
55-59,501660,523375
60-64,557659,648896
65-69,525390,680747
70-74,392071,562146
75-79,233194,376967
80-84,169573,330679
85-89,88547,187508
90-94,30274,65375
95-99,4830,9611
100+,340,412
