Age,M,F
0-4,143965,135938
5-9,158551,150445
10-14,168268,159525
15-19,162503,154798
20-24,173905,162182
25-29,187318,177394
30-34,194992,187795
35-39,185473,175079
40-44,179217,169324
45-49,188757,179582
50-54,192490,183755
55-59,175682,167652
60-64,157026,153542
65-69,140273,141887
70-74,127522,131157
75-79,94530,104178
80-84,53113,67241
85-89,27924,43747
90-94,11341,23863
95-99,2494,7366
100+,208,1007
