Age,M,F
0-4,1873875,1777778
5-9,2105436,2001399
10-14,2114031,2010125
15-19,1925168,1826298
20-24,2074288,1956868
25-29,2271212,2170464
30-34,2286283,2265638
35-39,2186853,2229637
40-44,2079216,2113065
45-49,2061989,2110739
50-54,2250909,2330347
55-59,2234949,2322902
60-64,1944438,2030178
65-69,1642425,1751631
70-74,1592429,1743762
75-79,1181553,1361231
80-84,758159,963616
85-89,435843,637676
90-94,175102,319465
95-99,40277,102948
100+,4143,16684
