Age,M,F
0-4,72777,68615
5-9,81055,79308
10-14,83138,79901
15-19,95069,91287
20-24,106342,106415
25-29,117176,117099
30-34,108936,100191
35-39,92842,85452
40-44,80823,79992
45-49,80985,86014
50-54,90815,97210
55-59,97190,101468
60-64,93794,97367
65-69,75309,78017
70-74,59285,62007
75-79,43546,45217
80-84,29645,32494
85-89,12618,14143
90-94,3872,5115
95-99,680,1274
100+,52,162
