Age,M,F
0-4,157261,148865
5-9,164297,155278
10-14,174196,163761
15-19,163258,151902
20-24,156644,146055
25-29,181524,169826
30-34,236627,224063
35-39,247585,230163
40-44,265262,248824
45-49,269904,255791
50-54,250078,242679
55-59,230299,235408
60-64,224464,247959
65-69,205156,252223
70-74,172298,248906
75-79,113690,186782
80-84,71214,131465
85-89,40637,79973
90-94,12744,23287
95-99,2060,3111
100+,150,187
