Age,M,F
0-4,11432,10570
5-9,11489,11101
10-14,12556,11839
15-19,11416,10975
20-24,12814,12207
25-29,15816,14130
30-34,15833,13419
35-39,13896,12203
40-44,13025,11847
45-49,12332,11394
50-54,11099,10586
55-59,11027,11128
60-64,10548,10374
65-69,8834,8883
70-74,7219,7208
75-79,4961,5304
80-84,2938,3365
85-89,1712,2346
90-94,731,1282
95-99,133,312
100+,6,37
