Age,M,F
0-4,2191758,2094545
5-9,2568449,2453760
10-14,2743471,2619853
15-19,2865895,2736296
20-24,3085611,2950133
25-29,3117191,2972047
30-34,3271960,3131833
35-39,3578784,3465020
40-44,4090600,3974518
45-49,4864553,4749098
50-54,4446174,4386939
55-59,3929089,3906056
60-64,3623028,3677419
65-69,3776429,3979608
70-74,4564246,5057531
75-79,3183958,3875304
80-84,2424873,3303723
85-89,1469024,2553782
90-94,609236,1467675
95-99,147371,573960
100+,15861,115861
