Age,M,F
0-4,155815,148874
5-9,170103,161701
10-14,182399,174081
15-19,166313,159880
20-24,159758,155038
25-29,146076,143042
30-34,153034,158518
35-39,177050,191638
40-44,195732,203828
45-49,180943,184350
50-54,160913,162002
55-59,144469,148831
60-64,129606,133071
65-69,112768,115797
70-74,94868,98848
75-79,70269,76782
80-84,40007,48461
85-89,21083,31234
90-94,7602,14040
95-99,1873,4860
100+,232,725
