Age,M,F
0-4,281969,268612
5-9,282248,268322
10-14,297289,283588
15-19,252351,238880
20-24,243699,230546
25-29,306590,288082
30-34,354492,333005
35-39,372340,348707
40-44,442999,415849
45-49,450573,427262
50-54,351671,338465
55-59,334673,331474
60-64,301285,316052
65-69,310771,355849
70-74,270413,343194
75-79,172610,251925
80-84,89917,154278
85-89,43459,91964
90-94,14448,38593
95-99,2493,9036
100+,133,634
