Age,M,F
0-4,134881,126244
5-9,144471,134532
10-14,130455,122136
15-19,109514,100387
20-24,112016,103136
25-29,124311,120662
30-34,141289,142847
35-39,131343,138408
40-44,117760,128068
45-49,112027,125223
50-54,105476,122640
55-59,109380,137441
60-64,101606,134680
65-69,77081,113548
70-74,53941,90385
75-79,26892,52968
80-84,23923,60049
85-89,8389,26762
90-94,1966,9304
95-99,163,1557
100+,4,104
