Age,M,F
0-4,306036,289439
5-9,323366,304495
10-14,324807,306000
15-19,308468,285629
20-24,309666,272352
25-29,366985,344596
30-34,387848,368769
35-39,344804,325488
40-44,325926,312257
45-49,338339,328090
50-54,338299,329289
55-59,330613,322519
60-64,285138,283537
65-69,266619,272245
70-74,264712,278963
75-79,225497,244341
80-84,128737,157315
85-89,65934,99694
90-94,25117,52073
95-99,5154,15398
100+,444,2089
