Age,M,F
0-4,48409,44901
5-9,52433,48627
10-14,50512,47943
15-19,46879,44287
20-24,43971,40849
25-29,51989,47814
30-34,66875,62199
35-39,66917,63506
40-44,59437,59406
45-49,62742,65288
50-54,62004,67540
55-59,60539,70037
60-64,58901,74860
65-69,46358,67458
70-74,35506,60930
75-79,23909,50754
80-84,18743,48993
85-89,8161,26042
90-94,3041,11513
95-99,594,2710
100+,72,258
