Age,M,F
0-4,1740068,1667842
5-9,1941959,1859517
10-14,2046976,1954927
15-19,2005071,1903849
20-24,1871821,1808498
25-29,1724891,1751487
30-34,1867264,1961691
35-39,1950754,2062206
40-44,1991117,2059956
45-49,2095493,2136813
50-54,2086479,2145484
55-59,2036292,2143645
60-64,1893685,2063449
65-69,1763693,1991270
70-74,1669563,1943449
75-79,1044520,1297545
80-84,738759,1049807
85-89,477906,855240
90-94,199854,490559
95-99,45021,166104
100+,4041,22871
