Age,M,F
0-4,2957963,2854694
5-9,2904521,2801487
10-14,2803555,2707298
15-19,2396505,2314822
20-24,2351306,2289682
25-29,2700821,2655641
30-34,2878979,2828785
35-39,2473485,2440814
40-44,1801278,1757537
45-49,1351568,1424040
50-54,1415900,1693222
55-59,1041273,1386414
60-64,617224,996450
65-69,468503,821663
70-74,347923,654448
75-79,205174,419621
80-84,107975,242471
85-89,44574,126312
90-94,18811,62792
95-99,6055,16861
100+,1210,2587
