Age,M,F
0-4,974675,926562
5-9,1036231,988527
10-14,1058354,1018719
15-19,1044561,1006371
20-24,1270335,1177870
25-29,1370357,1273303
30-34,1364256,1318173
35-39,1330203,1318027
40-44,1240740,1261583
45-49,1182424,1204149
50-54,1208150,1223572
55-59,1339565,1352947
60-64,1280642,1317912
65-69,1081595,1148230
70-74,878807,959452
75-79,602766,684176
80-84,373073,467993
85-89,212555,311708
90-94,88467,169208
95-99,20110,57157
100+,2134,9362
