Age,M,F
0-4,611119,583979
5-9,621452,594702
10-14,617033,607064
15-19,538428,525197
20-24,511068,484392
25-29,529080,464773
30-34,472796,403696
35-39,408639,361339
40-44,354216,314609
45-49,313438,274096
50-54,267384,231419
55-59,201069,179677
60-64,135149,127338
65-69,88017,85922
70-74,54526,56584
75-79,32343,37400
80-84,17340,23182
85-89,5801,9618
90-94,1124,2650
95-99,120,445
100+,6,34
