Age,M,F
0-4,3141974,2970895
5-9,3606169,3403958
10-14,3968380,3741390
15-19,4001609,3759711
20-24,4130435,3841021
25-29,4239328,4035631
30-34,4445783,4344311
35-39,4840008,4812222
40-44,5528377,5526807
45-49,5928764,5978649
50-54,5798693,5953769
55-59,5516765,5793890
60-64,4834365,5238227
65-69,4131642,4648976
70-74,3667083,4304519
75-79,2702830,3419073
80-84,2017299,2881387
85-89,1182232,2009992
90-94,446609,952649
95-99,86648,259995
100+,7173,31356
