Age,M,F
0-4,7264824,6975789
5-9,7500264,7206914
10-14,7683687,7392558
15-19,8093879,7816295
20-24,8609654,8380359
25-29,8603434,8449028
30-34,8697435,8636303
35-39,8707896,8775061
40-44,7952164,8183352
45-49,6940769,7288806
50-54,6188069,6647447
55-59,5626856,6222066
60-64,4626793,5321780
65-69,3505890,4250529
70-74,2444997,3159236
75-79,1562543,2119196
80-84,887562,1375231
85-89,320232,630185
90-94,66590,176937
95-99,7394,26020
100+,356,1833
