Age,M,F
0-4,222496,210734
5-9,248840,235164
10-14,283516,267890
15-19,286324,261790
20-24,292785,265302
25-29,275520,257173
30-34,273964,274927
35-39,335151,332227
40-44,388785,393365
45-49,382279,398798
50-54,384733,416917
55-59,341983,383063
60-64,317331,363243
65-69,285838,324874
70-74,263790,306170
75-79,209460,245194
80-84,164266,208489
85-89,102959,126004
90-94,46767,45778
95-99,9199,10082
100+,895,1288
